name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tashkent,2023-04-30,31,16.6,24.7,28.9,16.6,24,3,27,0,0,0,,0,0,18.7,22.3,54.4,1008,64.8,11.3,299.7,25.8,9,10,2023-04-30T05:22:33,2023-04-30T19:18:52,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-01,31,18.2,24.4,28.9,18.2,23.7,3.3,28.1,0,0,0,,0,0,27.4,18.4,15.8,1005.9,14.7,11.4,319.3,27.4,9,10,2023-05-01T05:21:13,2023-05-01T19:19:56,0.36,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-02,29,15,21.4,27.4,15,21.2,5.4,38.2,0,0,0,,0,0,44.6,25.9,312.8,1008.9,0.8,10.1,322.7,28,9,10,2023-05-02T05:19:55,2023-05-02T19:21:00,0.39,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-03,27,10.5,18.7,26,10.5,18.6,-0.8,31.5,0,0,0,,0,0,22,22.3,27.3,1013.4,8.1,12,330.4,28.6,10,10,2023-05-03T05:18:38,2023-05-03T19:22:03,0.42,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-04,24,7,15.2,24,4.8,14.8,-3.2,31.6,0,0,0,,0,0,37.1,18.4,215.7,1013.6,34.2,12,337.5,29.2,10,10,2023-05-04T05:17:22,2023-05-04T19:23:07,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-05,28,9,18.8,26.6,7.9,18.4,-4.4,24.5,0,0,0,,0,0,31.3,22.3,345.7,1013.6,43.2,12.7,336.9,29.2,10,10,2023-05-05T05:16:08,2023-05-05T19:24:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-06,20,12,16.1,20,12,16.1,3.7,44.1,0,0,0,,0,0,27.4,22.3,269.5,1015.3,60.2,9.6,221.7,19.1,8,10,2023-05-06T05:14:55,2023-05-06T19:25:13,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-07,22.4,11,16.9,22.4,11,16.9,7.1,54.5,0,0,0,,0,0,26.6,18.4,39.3,1017.7,62.2,10.4,289.3,25.2,8,10,2023-05-07T05:13:43,2023-05-07T19:26:16,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"38583099999,38452099999,38457099999,UTTT,remote"
Tashkent,2023-05-08,25,10.5,18.5,25,10.5,18.5,6,47.6,0,0,0,,0,0,14.8,14.8,88.9,1017.8,16.1,10.7,324,28.1,9,10,2023-05-08T05:12:33,2023-05-08T19:27:19,0.59,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
Tashkent,2023-05-09,28.5,13.6,21.8,27.1,13.6,21.4,4.4,35.5,0,0,0,,0,0,22.3,14.8,19.9,1017.5,3.8,10.7,329.9,28.5,10,10,2023-05-09T05:11:24,2023-05-09T19:28:21,0.63,Clear,Clear conditions throughout the day.,clear-day,"38583099999,38452099999,38457099999,UTTT"
